,emotional_score,avg_energy,energy_variation,zcr_variation,mfcc_dynamics,speech_rate
Queen Victoria.mp3,6.450876811162494,18.328909,0.9510717741646099,0.7272814159545197,30.300568,0.10592098717758472
Nelson_Mandela.mp3,7.100789900016571,103.475876,0.6081504248013888,0.6397258378086014,32.703365,0.11395474554953561
Indira Gandhi.mp3,7.6679200068137705,3.6029794,1.4479777019052402,0.38009562665649155,36.45721,0.05429468228025739
SWAMI VIVEKANAND.mp3,8.267152949242652,68.42491,1.2738454985659176,0.3090701577551647,38.725758,0.14356370597360638
Julia_Gillard.mp3,8.536362731819754,125.52227,0.6490401584439217,0.7541185178263098,39.39522,0.11984391678139938
Atal Bihari Vajpayee.mp3,9.147717561191653,9.3495655,1.85101915289445,0.38226319044379786,43.364624,0.08759131855867347
Sonia Gandhi.mp3,9.437464706296458,21.697857,1.8785834225628322,0.970814822283689,44.01202,0.08746440112798762
Yogi Adityanath.mp3,9.63813034674289,6.5085926,1.53824049919436,0.295369126605075,46.25913,0.05692965490264256
Pandit Jawaharlal Nehru Tryst with Destiny  1947.mp3,9.78225479095097,34.82398,1.1574917539292706,0.570748256236349,46.660435,0.047909065552054625
Magaret_Tarcher.mp3,10.203857642594112,108.09771,0.7244170429739166,0.5987814902526403,48.074253,0.07419052643672601
Lalu Yadav.mp3,10.234249169720986,32.403965,1.2203499791886647,0.424346384125444,49.039967,0.10468541875886994
Mahatma Gandhi.mp3,10.645695334526406,18.483833,1.4605228724908221,0.7443454362820501,50.74596,0.07812571372537337
Justin Trudeau.mp3,12.287223991826728,6.699756,1.2585026184462893,0.8950737903992319,59.18158,0.09352365244244806
PM Shri Narendra Modi.mp3,12.534393359427982,3.185034,1.3137726390954656,0.4931326093603273,60.816788,0.0996636816015555
Dr. Shashi Tharoor.mp3,12.542061950354675,48.84313,1.8761866373364198,0.8587338992685303,59.242207,0.10714372338202516
Donald TRUMP.mp3,13.507475441047054,2.6891255,1.0449869270052692,0.5888592542710074,65.86255,0.12906255317930151
BARACK OBAMA.mp3,13.939308913452678,5.1845593,2.110911908740171,0.5727308932420736,66.93438,0.15075949314892495
Benjamin_Netanyau.mp3,14.243236683737926,50.540623,0.9035569009715065,0.5279812406841796,69.02597,0.11309547636900155
Jens_Stoltenberg.mp3,14.840066389381018,36.239285,1.3157698003660778,0.6646966034947617,71.67559,0.13715203536184212
Rahul Gandhi.mp3,16.547187578131826,11.522493,2.4296917533915754,0.3990664082544287,79.73379,0.11095839112517873
